"Cluster","TermNames","TermIndices"
1,"neural crest cell differentiation, neural crest cell development","878, 877"
2,"negative regulation of CD4-positive, alpha-beta T cell activation, negative regulation of CD4-positive, alpha-beta T cell differentiation","729, 730"
3,"stem cell development, neural crest cell development","1842, 877"
4,"growth plate cartilage chondrocyte development, chondrocyte development involved in endochondral bone morphogenesis","464, 279"
5,"sphingoid biosynthetic process, sphingosine biosynthetic process","1838, 1840"
6,"trans-synaptic signaling by trans-synaptic complex, retrograde trans-synaptic signaling by trans-synaptic protein complex","1906, 1782"
7,"response to topologically incorrect protein, response to unfolded protein","1765, 1771"
8,"response to glucose, response to hexose","1726, 1728"
9,"response to external biotic stimulus, response to other organism","1722, 1751"
10,"reproductive structure development, reproductive system development","1696, 1697"
11,"reproduction, reproductive process","1694, 1695"
12,"urogenital system development, renal system development","1930, 1691"
13,"tumor necrosis factor superfamily cytokine production, regulation of tumor necrosis factor superfamily cytokine production","1925, 1676"
14,"regulation of tumor necrosis factor production, tumor necrosis factor production","1675, 1924"
15,"transcription by RNA polymerase II, regulation of transcription by RNA polymerase II","1907, 1662"
16,"regulation of smooth muscle cell proliferation, smooth muscle cell proliferation","1638, 1831"
17,"sequestering of calcium ion, regulation of sequestering of calcium ion","1816, 1630"
18,"regulation of phospholipid translocation, regulation of phospholipid transport","1571, 1572"
19,"regulation of phosphate metabolic process, regulation of phosphorus metabolic process","1567, 1573"
20,"regulation of purine nucleotide metabolic process, regulation of nucleotide metabolic process","1611, 1552"
21,"regulation of neurotransmitter receptor localization to postsynaptic specialization membrane, regulation of receptor localization to synapse","1544, 1615"
22,"regulation of lymphocyte proliferation, regulation of mononuclear cell proliferation","1498, 1523"
23,"regulation of RNA biosynthetic process, regulation of DNA-templated transcription","1625, 1421"
24,"regulation of endodeoxyribonuclease activity, regulation of deoxyribonuclease activity","1423, 1415"
25,"regulation of dense core granule exocytosis, regulation of presynaptic dense core granule exocytosis","1414, 1584"
26,"regulation of cholesterol biosynthetic process, regulation of sterol biosynthetic process","1400, 1641"
27,"regulation of transforming growth factor beta receptor signaling pathway, regulation of cellular response to transforming growth factor beta stimulus","1665, 1395"
28,"regulation of cellular response to oxidative stress, regulation of response to oxidative stress","1393, 1621"
29,"regulation of blood coagulation, regulation of hemostasis, regulation of coagulation","1345, 1451, 1401"
30,"regulation of aerobic respiration, regulation of cellular respiration","1320, 1391"
31,"regulation of cardiac muscle cell contraction, regulation of actin filament-based movement","1359, 1314"
32,"purine ribonucleotide metabolic process, ribonucleotide metabolic process","1298, 1789"
33,"ribonucleotide biosynthetic process, purine ribonucleotide biosynthetic process","1788, 1297"
34,"ribose phosphate biosynthetic process, purine-containing compound biosynthetic process, purine nucleotide biosynthetic process","1790, 1299, 1294"
35,"protein-RNA complex assembly, protein-RNA complex organization","1285, 1286"
36,"presynapse assembly, presynapse organization","1232, 1233"
37,"positive regulation of tumor necrosis factor production, positive regulation of tumor necrosis factor superfamily cytokine production","1214, 1215"
38,"positive regulation of protein O-linked glycosylation, regulation of protein O-linked glycosylation","1173, 1601"
39,"regulation of phospholipase C activity, positive regulation of phospholipase C activity","1569, 1163"
40,"positive regulation of phosphate metabolic process, positive regulation of phosphorus metabolic process","1161, 1164"
41,"positive regulation of pattern recognition receptor signaling pathway, regulation of pattern recognition receptor signaling pathway","1158, 1560"
42,"positive regulation of non-canonical NF-kappaB signal transduction, regulation of non-canonical NF-kappaB signal transduction","1152, 1550"
43,"positive regulation of muscle organ development, positive regulation of striated muscle tissue development","1140, 1197"
44,"positive regulation of mucus secretion, regulation of mucus secretion","1138, 1525"
45,"positive regulation of monocyte chemotaxis, regulation of monocyte chemotaxis","1135, 1521"
46,"positive regulation of mononuclear cell proliferation, positive regulation of lymphocyte proliferation","1137, 1118"
47,"positive regulation of leukocyte chemotaxis, regulation of leukocyte chemotaxis","1109, 1482"
48,"positive regulation of lymphocyte apoptotic process, positive regulation of leukocyte apoptotic process","1117, 1107"
49,"positive regulation of hemopoiesis, positive regulation of leukocyte differentiation","1086, 1110"
50,"positive regulation of cell migration, positive regulation of cell motility","1038, 1040"
51,"positive regulation of cell communication, positive regulation of signaling","1033, 1194"
52,"positive regulation of cardiac muscle adaptation, positive regulation of cardiac muscle hypertrophy in response to stress","1026, 1027"
53,"positive regulation of coagulation, positive regulation of hemostasis, positive regulation of blood coagulation","1057, 1087, 1019"
54,"positive regulation of angiogenesis, positive regulation of vasculature development","1010, 1219"
55,"neurofilament bundle assembly, intermediate filament bundle assembly","885, 521"
56,"positive regulation of acute inflammatory response, regulation of acute inflammatory response","1006, 1318"
57,"plasma lipoprotein particle organization, protein-lipid complex organization","998, 1284"
58,"plasma lipoprotein particle assembly, protein-lipid complex assembly","997, 1283"
59,"phosphorus metabolic process, phosphate-containing compound metabolic process","993, 984"
60,"peroxisomal membrane transport, peroxisomal transport","981, 982"
61,"peripheral nervous system development, Schwann cell differentiation","980, 1805"
62,"peptidyl-tyrosine modification, peptidyl-tyrosine phosphorylation","977, 978"
63,"signal release from synapse, neurotransmitter secretion","1819, 909"
64,"protein localization to postsynaptic specialization membrane, neurotransmitter receptor localization to postsynaptic specialization membrane","1263, 908"
65,"neuroligin clustering involved in postsynaptic membrane assembly, postsynaptic membrane assembly","889, 1229"
66,"regulation of T-helper 17 cell lineage commitment, negative regulation of T-helper 17 cell lineage commitment","1656, 854"
67,"negative regulation of response to oxidative stress, negative regulation of response to reactive oxygen species","838, 839"
68,"negative regulation of protein modification by small protein conjugation or removal, negative regulation of protein ubiquitination","825, 829"
69,"thioester metabolic process, acyl-CoA metabolic process","1892, 15"
70,"negative regulation of phosphorus metabolic process, negative regulation of phosphate metabolic process","814, 812"
71,"neuron intrinsic apoptotic signaling pathway in response to oxidative stress, regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway, negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway","897, 1559, 810"
72,"negative regulation of protein localization to endoplasmic reticulum, regulation of protein localization to endoplasmic reticulum","823, 1595"
73,"negative regulation of nervous system development, negative regulation of neurogenesis","800, 801"
74,"negative regulation of leukocyte differentiation, negative regulation of hemopoiesis","785, 771"
75,"negative regulation of cell communication, negative regulation of signaling","733, 847"
76,"limb development, appendage development","563, 58"
77,"negative regulation of T-helper 17 cell differentiation, negative regulation of CD4-positive, alpha-beta T cell differentiation, negative regulation of T-helper 17 type immune response","853, 730, 855"
78,"negative regulation of cardiac muscle tissue growth, negative regulation of heart growth","725, 770"
79,"regulation of synaptic vesicle exocytosis, regulation of neurotransmitter secretion","1650, 1545"
80,"negative regulation of blood coagulation, negative regulation of hemostasis, negative regulation of coagulation","719, 772, 748"
81,"regulation of insulin secretion, regulation of peptide secretion, regulation of peptide transport, regulation of peptide hormone secretion","1466, 1563, 1564, 1562"
82,"muscle organ morphogenesis, muscle tissue morphogenesis","683, 687"
83,"regulation of smooth muscle cell migration, smooth muscle cell migration, muscle cell migration","1637, 1830, 679"
84,"morphogenesis of a branching structure, morphogenesis of a branching epithelium","669, 668"
85,"modulation of chemical synaptic transmission, regulation of trans-synaptic signaling","652, 1661"
86,"anterograde dendritic transport, dendritic transport","54, 324"
87,"microtubule-based transport, transport along microtubule","642, 1918"
88,"regulation of metanephric nephron tubule epithelial cell differentiation, metanephric nephron tubule epithelial cell differentiation","1510, 635"
89,"detection of mechanical stimulus, detection of mechanical stimulus involved in sensory perception","334, 335"
90,"peptide hormone processing, signaling receptor ligand precursor processing","967, 1823"
91,"mesonephric epithelium development, mesonephros development, ureteric bud development, mesonephric tubule development","631, 633, 1929, 632"
92,"mesenchymal cell proliferation, regulation of mesenchymal cell proliferation","626, 1507"
93,"negative regulation of blood vessel morphogenesis, negative regulation of angiogenesis","721, 708"
94,"macrophage migration, regulation of macrophage migration","601, 1502"
95,"lysosome organization, lytic vacuole organization","591, 592"
96,"positive regulation of cellular extravasation, regulation of cellular extravasation","1050, 1388"
97,"lymphocyte costimulation, T cell costimulation","586, 1872"
98,"lung development, respiratory tube development","580, 1699"
99,"lipid translocation, phospholipid translocation","570, 991"
100,"negative regulation of ubiquitin protein ligase activity, regulation of ubiquitin protein ligase activity","862, 1679"
101,"regulation of interleukin-8 production, interleukin-8 production","1470, 520"
102,"interleukin-6 production, regulation of interleukin-6 production","519, 1469"
103,"wound healing involved in inflammatory response, inflammatory response to wounding","1946, 506"
104,"hematopoietic or lymphoid organ development, hemopoiesis","475, 478"
105,"nucleoside diphosphate metabolic process, ribonucleoside diphosphate metabolic process","926, 1787"
106,"protein glycosylation, glycosylation, macromolecule glycosylation","1253, 461, 596"
107,"macromolecule deacylation, protein deacylation","595, 1248"
108,"polysaccharide catabolic process, glucan catabolic process, glycogen catabolic process","1002, 449, 454"
109,"neural tube closure, tube closure, primary neural tube formation","880, 1920, 1237"
110,"leukocyte activation involved in inflammatory response, microglial cell activation, glial cell activation","550, 638, 443"
111,"sensory system development, eye development, visual system development","1815, 422, 1942"
112,"extracellular matrix organization, extracellular structure organization, external encapsulating structure organization","420, 421, 419"
113,"positive regulation of transforming growth factor beta1 production, regulation of transforming growth factor beta1 production, transforming growth factor beta1 production, positive regulation of transforming growth factor beta production","1208, 1666, 1909, 1207"
114,"protein secretion, protein localization to extracellular region, establishment of protein localization to extracellular region","1273, 1260, 410"
115,"establishment of mitochondrion localization, microtubule-mediated, mitochondrion transport along microtubule","406, 645"
116,"positive regulation of fatty acid transport, positive regulation of icosanoid secretion, prostaglandin secretion, regulation of icosanoid secretion, positive regulation of prostaglandin secretion, prostaglandin transport, regulation of prostaglandin secretion","1074, 1091, 1241, 1461, 1167, 1242, 1587"
117,"negative regulation of leukocyte mediated immunity, negative regulation of lymphocyte mediated immunity","786, 790"
118,"tube formation, epithelial tube formation","1922, 393"
119,"negative regulation of cholesterol biosynthetic process, negative regulation of cholesterol metabolic process, negative regulation of sterol biosynthetic process, negative regulation of alcohol biosynthetic process","746, 747, 849, 704"
120,"epithelial cell migration, tissue migration, epithelium migration","389, 1895, 396"
121,"regulation of presynapse assembly, regulation of presynapse organization","1582, 1583"
122,"mononuclear cell proliferation, lymphocyte proliferation","667, 589"
123,"endoplasmic reticulum to cytosol transport, retrograde protein transport, ER to cytosol","379, 1780"
124,"RNA biosynthetic process, DNA-templated transcription","1798, 361"
125,"positive regulation of natural killer cell mediated cytotoxicity, positive regulation of natural killer cell mediated immunity","1143, 1144"
126,"blood vessel development, vasculature development","89, 1934"
127,"natural killer cell mediated cytotoxicity, natural killer cell mediated immunity, regulation of natural killer cell mediated cytotoxicity, regulation of natural killer cell mediated immunity","697, 698, 1534, 1535"
128,"negative regulation of cell migration, negative regulation of cell motility","736, 737"
129,"determination of digestive tract left/right asymmetry, determination of pancreatic left/right asymmetry, determination of liver left/right asymmetry","342, 344, 343"
130,"detection of stimulus involved in sensory perception of pain, detection of mechanical stimulus involved in sensory perception of pain","339, 336"
131,"regulation of dendritic cell cytokine production, dendritic cell cytokine production","1413, 319"
132,"dendritic cell chemotaxis, dendritic cell migration","318, 320"
133,"defense response to symbiont, defense response to virus","312, 314"
134,"blood coagulation, hemostasis, coagulation","88, 479, 291"
135,"connective tissue replacement, connective tissue replacement involved in inflammatory response wound healing","296, 297"
136,"hippocampal neuron apoptotic process, negative regulation of hippocampal neuron apoptotic process, regulation of hippocampal neuron apoptotic process","487, 773, 1453"
137,"detection of triacyl bacterial lipopeptide, response to triacyl bacterial lipopeptide, cellular response to triacyl bacterial lipopeptide","340, 1768, 253"
138,"response to epinephrine, cellular response to epinephrine stimulus","1721, 219"
139,"response to chemokine, cellular response to chemokine","1712, 213"
140,"cholesterol metabolic process, sterol metabolic process, secondary alcohol metabolic process","277, 1847, 1807"
141,"taxis, chemotaxis","1886, 275"
142,"cerebellum morphogenesis, hindbrain morphogenesis","268, 485"
143,"cerebellum development, metencephalon development","267, 637"
144,"maintenance of cell number, stem cell population maintenance","602, 1844"
145,"cellular response to unfolded protein, cellular response to topologically incorrect protein","254, 250"
146,"cellular response to prostaglandin stimulus, response to prostaglandin, response to prostaglandin E, cellular response to prostaglandin E stimulus","245, 1756, 1757, 244"
147,"positive regulation of biosynthetic process, positive regulation of cellular biosynthetic process","1018, 1046"
148,"positive regulation of glial cell migration, regulation of microglial cell migration, positive regulation of microglial cell migration, microglial cell migration","1077, 1511, 1129, 639"
149,"cellular response to superoxide, response to oxygen radical, removal of superoxide radicals, response to superoxide, cellular response to oxygen radical","249, 1754, 1690, 1762, 242"
150,"digestive tract development, digestive system development","358, 357"
151,"cellular response to ketone, response to ketone","227, 1736"
152,"T-helper cell differentiation, CD4-positive, alpha-beta T cell differentiation involved in immune response","1884, 141"
153,"cellular response to interleukin-4, response to interleukin-4","226, 1735"
154,"cellular response to inorganic substance, cellular response to metal ion","224, 232"
155,"nucleotide metabolic process, purine nucleotide metabolic process, ribose phosphate metabolic process, nucleoside phosphate metabolic process","928, 1295, 1791, 927"
156,"cellular response to fibroblast growth factor stimulus, response to fibroblast growth factor","220, 1724"
157,"dendritic cell apoptotic process, regulation of dendritic cell apoptotic process","317, 1411"
158,"protein transmembrane transport, intracellular protein transmembrane transport","1277, 530"
159,"chemokine production, regulation of chemokine production","273, 1398"
160,"myelination in peripheral nervous system, peripheral nervous system axon ensheathment, Schwann cell development","691, 979, 1804"
161,"positive regulation of heat generation, regulation of heat generation, positive regulation of fever generation, regulation of fever generation","1084, 1449, 1075, 1435"
162,"cellular response to decreased oxygen levels, cellular response to oxygen levels, cellular response to hypoxia","215, 241, 223"
163,"cellular response to catecholamine stimulus, response to catecholamine, cellular response to monoamine stimulus, response to monoamine","210, 1710, 234, 1743"
164,"neuronal dense core vesicle exocytosis, presynaptic dense core vesicle exocytosis, dense core granule exocytosis","907, 1234, 325"
165,"monoatomic cation homeostasis, monoatomic ion homeostasis, inorganic ion homeostasis","656, 659, 513"
166,"positive regulation of cellular response to macrophage colony-stimulating factor stimulus, positive regulation of response to macrophage colony-stimulating factor, positive regulation of matrix metallopeptidase secretion","1053, 1184, 1126"
167,"negative regulation of glial cell differentiation, regulation of astrocyte differentiation, negative regulation of astrocyte differentiation","765, 1332, 712"
168,"cellular response to diacyl bacterial lipopeptide, detection of diacyl bacterial lipopeptide, response to diacyl bacterial lipopeptide, toll-like receptor TLR6:TLR2 signaling pathway","216, 331, 1717, 1903"
169,"cell projection morphogenesis, plasma membrane bounded cell projection morphogenesis","171, 999"
170,"nitric oxide metabolic process, reactive nitrogen species metabolic process, regulation of nitric oxide biosynthetic process, nitric oxide biosynthetic process, regulation of nitric oxide metabolic process","913, 1306, 1546, 912, 1547"
171,"cell-cell signaling by wnt, Wnt signaling pathway","179, 1944"
172,"cell motility, localization of cell","169, 573"
173,"bone growth, endochondral bone growth","94, 376"
174,"cell proliferation in hindbrain, cerebellar granule cell precursor proliferation, regulation of cerebellar granule cell precursor proliferation, cell proliferation in external granule layer","174, 266, 1396, 173"
175,"cellular response to transforming growth factor beta stimulus, response to transforming growth factor beta","252, 1767"
176,"epithelial cell differentiation involved in kidney development, cell differentiation involved in kidney development","388, 158"
177,"copper ion homeostasis, intracellular copper ion homeostasis","299, 525"
178,"cellular response to bacterial lipopeptide, detection of bacterium, response to bacterial lipopeptide, detection of other organism, detection of bacterial lipopeptide, cellular response to bacterial lipoprotein, response to bacterial lipoprotein, detection of bacterial lipoprotein","204, 329, 1704, 338, 327, 205, 1705, 328"
179,"cardiac muscle cell action potential involved in contraction, cardiac muscle cell action potential","126, 125"
180,"response to oxygen levels, response to hypoxia, response to decreased oxygen levels","1753, 1731, 1716"
181,"leukocyte activation involved in immune response, cell activation involved in immune response","549, 144"
182,"intracellular monoatomic cation homeostasis, intracellular monoatomic ion homeostasis","528, 529"
183,"amine transport, regulation of amine transport","37, 1323"
184,"organic acid transmembrane transport, carboxylic acid transmembrane transport","940, 120"
185,"chemokine (C-X-C motif) ligand 2 production, regulation of chemokine (C-X-C motif) ligand 2 production, positive regulation of chemokine (C-X-C motif) ligand 2 production","272, 1397, 1054"
186,"alpha-beta T cell differentiation involved in immune response, T cell differentiation involved in immune response, alpha-beta T cell activation involved in immune response","31, 1875, 29"
187,"neuronal action potential propagation, action potential propagation","906, 9"
188,"nephron tubule development, renal tubule development","873, 1692"
189,"axon guidance, neuron projection guidance","72, 901"
190,"positive regulation of synaptic vesicle fusion to presynaptic active zone membrane, regulation of synaptic vesicle fusion to presynaptic active zone membrane, positive regulation of synaptic vesicle membrane organization, positive regulation of vesicle fusion, regulation of synaptic vesicle membrane organization, calcium-dependent activation of synaptic vesicle fusion","1199, 1651, 1200, 1220, 1652, 104"
191,"cell differentiation, cellular developmental process","156, 191"
192,"regulation of tube diameter, regulation of tube size, blood vessel diameter maintenance","1673, 1674, 90"
193,"cellular response to lectin, stimulatory C-type lectin receptor signaling pathway, response to lectin","228, 1848, 1737"
194,"hemoglobin metabolic process, hemoglobin biosynthetic process","477, 476"
195,"base conversion or substitution editing, cytidine to uridine editing","77, 303"
196,"arachidonic acid metabolite production involved in inflammatory response, leukotriene production involved in inflammatory response","59, 562"
197,"detoxification of copper ion, detoxification of inorganic compound, stress response to copper ion, stress response to metal ion","346, 347, 1849, 1850"
198,"positive regulation of endodeoxyribonuclease activity, positive regulation of deoxyribonuclease activity","1070, 1063"
199,"cell cycle DNA replication initiation, nuclear cell cycle DNA replication initiation, mitotic DNA replication initiation","151, 919, 648"
200,"process utilizing autophagic mechanism, autophagy","1238, 66"
201,"chondrocyte development involved in endochondral bone morphogenesis, chondrocyte differentiation involved in endochondral bone morphogenesis, growth plate cartilage chondrocyte differentiation, growth plate cartilage development","279, 281, 465, 467"
202,"axon ensheathment in central nervous system, central nervous system myelination","71, 258"
203,"anterograde trans-synaptic signaling, chemical synaptic transmission","55, 270"
204,"axon ensheathment, myelination, ensheathment of neurons","70, 690, 384"
205,"cholesterol biosynthetic process, sterol biosynthetic process, secondary alcohol biosynthetic process","276, 1846, 1806"
206,"positive regulation by symbiont of entry into host, positive regulation of viral entry into host cell","1004, 1221"
207,"behavioral defense response, behavioral fear response, fear response","79, 80, 427"
208,"mesenchymal to epithelial transition involved in metanephros morphogenesis, renal vesicle development","628, 1693"
209,"negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway, regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway, regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide, negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide, positive regulation of mitochondrial electron transport, NADH to ubiquinone, regulation of mitochondrial electron transport, NADH to ubiquinone, neuron intrinsic apoptotic signaling pathway in response to hydrogen peroxide","774, 1459, 1474, 781, 1130, 1513, 896"
210,"alpha-beta T cell lineage commitment, CD4-positive, alpha-beta T cell lineage commitment, T-helper 17 cell lineage commitment, CD4-positive or CD8-positive, alpha-beta T cell lineage commitment, T cell lineage commitment, T-helper 17 cell differentiation, T-helper cell lineage commitment","32, 142, 1882, 138, 1876, 1881, 1885"
211,"adult walking behavior, walking behavior","24, 1943"
212,"purine nucleoside diphosphate metabolic process, purine ribonucleoside diphosphate metabolic process, ADP metabolic process, glycolytic process","1293, 1296, 20, 455"
213,"acyl-CoA biosynthetic process, purine nucleoside bisphosphate biosynthetic process, ribonucleoside bisphosphate biosynthetic process, thioester biosynthetic process, nucleoside bisphosphate biosynthetic process","14, 1292, 1786, 1891, 925"
